family,target,policy,param,n,err_rel_tol_mean,err_lo,err_hi,err_median,success_rate,cost_mean,cost_frac_fine,wall_mean,n_refined_mean,precision,recall,false_safe_rate,n_necessary
A,peak_current,uniform_coarse,0.0,400,50.045219947046206,45.68951525485826,53.9523677113247,34.80822123726908,0.0,830.97,0.01150986510409199,0.08782065852024971,0.0,1.0,0.0,1.0,273
A,peak_current,uniform_medium,1.0,400,1.7334808341606396,1.616199266231017,1.8674043075686535,1.24711403421029,0.3175,3569.44,0.049963573526396986,0.04884381855717947,0.0,1.0,0.0,1.0,273
A,peak_current,uniform_fine,2.0,400,2.313714766568158e-06,2.004037081301914e-06,2.6693950778913116e-06,1.3891068110729094e-06,1.0,71821.575,1.0,1.1349439200697997,4.0,0.170625,1.0,0.0,273
A,peak_current,random,0.0,400,1.7334808341606396,1.616199266231017,1.8674043075686535,1.24711403421029,0.3175,3569.44,0.049963573526396986,0.04884381855717947,0.0,1.0,0.0,1.0,273
A,peak_current,random,1.0,400,1.3307222102302319,1.2101198185705702,1.4828489520885755,1.0699185826693607,0.4675,14960.8375,0.21224109185086235,0.232697823624967,1.0,0.15,0.21978021978021978,0.0,273
A,peak_current,random,2.0,400,0.890606511593403,0.7732211352068913,1.0305747830959349,0.2081441594792411,0.635,26242.36,0.36962169232194775,0.41926863432003303,2.0,0.15875,0.4652014652014652,0.0,273
A,peak_current,random,3.0,400,0.41219978334847424,0.32815801009581813,0.5011785311486874,2.6291571954365748e-06,0.815,42939.58,0.5978704009728196,0.7032410518723918,3.0,0.16583333333333333,0.7289377289377289,0.0,273
A,peak_current,random,4.0,400,2.313714766568158e-06,2.004037081301914e-06,2.6693950778913116e-06,1.3891068110729094e-06,1.0,71821.575,1.0,1.1349439200697997,4.0,0.170625,1.0,0.0,273
A,peak_current,share,0.0,400,1.7334808341606396,1.616199266231017,1.8674043075686535,1.24711403421029,0.3175,3569.44,0.049963573526396986,0.04884381855717947,0.0,1.0,0.0,1.0,273
A,peak_current,share,1.0,400,1.1789321074784835,1.0432504103433442,1.3338037649988168,0.8958153064305681,0.525,11394.0225,0.16296408327813416,0.16612632220705564,1.0,0.2075,0.304029304029304,0.0,273
A,peak_current,share,2.0,400,0.5945612190385428,0.5039227839546664,0.6912545284636973,2.7675597255966927e-06,0.705,28947.88,0.3912625127750096,0.4478842913145854,2.0,0.19375,0.5677655677655677,0.0,273
A,peak_current,share,3.0,400,0.45211353307998686,0.36594420896371965,0.5389762292618134,2.2864117884088067e-06,0.765,32567.25,0.44113375903832774,0.5067390055696341,3.0,0.14916666666666667,0.6556776556776557,0.0,273
A,peak_current,share,4.0,400,2.313714766568158e-06,2.004037081301914e-06,2.6693950778913116e-06,1.3891068110729094e-06,1.0,75391.015,1.049963573526397,1.1837877386269793,4.0,0.170625,1.0,0.0,273
A,peak_current,discrepancy,0.01,400,2.313714766568158e-06,2.004037081301914e-06,2.6693950778913116e-06,1.3891068110729094e-06,1.0,76221.985,1.061473438630489,1.271608397147229,4.0,0.170625,1.0,0.0,273
