name,err_at_1.5x_medium,err_at_2x_medium,cost_to_tol,auroc,ece
learned,0.006580131482136481,0.0018194689280691212,20392.0,0.9934765624999999,0.005843019386712009
learned_seq,0.010949263732656393,0.0022517490902683314,21660.0,,
