family,policy,n_points,cost_to_err<=0.002,cost_to_err<=0.005,cost_to_err<=0.01,cost_to_err<=0.02,cost_to_err<=0.05,err_at_cost<=18000,err_at_cost<=21600,err_at_cost<=28800,err_at_cost<=36000,err_at_cost<=43200
id,uniform_coarse,1,inf,inf,inf,inf,inf,0.12971365129217413,0.12971365129217413,0.12971365129217413,0.12971365129217413,0.12971365129217413
id,uniform_medium,1,inf,inf,inf,inf,inf,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.05349711123176784
id,uniform_fine,1,192000.0,192000.0,192000.0,192000.0,192000.0,,,,,
id,random,9,192000.0,192000.0,192000.0,192000.0,44000.0,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.05184526157346914,0.05184526157346914
id,random_structured,9,169553.33333333334,169553.33333333334,169553.33333333334,130333.33333333333,29200.0,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.04598240561848521,0.04598240561848521
id,spatial,9,192000.0,192000.0,132800.0,58800.0,29200.0,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.026100178114184146,0.026100178114184146
id,physics,14,37786.666666666664,36118.666666666664,34160.0,29450.666666666668,26562.666666666668,0.05349711123176784,0.05349711123176784,0.023940380581239797,0.00763671636266008,0.0011592250424958294
id,physics_seq,14,67026.66666666667,62816.0,50966.666666666664,42936.0,35204.0,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.023905822741011797,0.015004684321571041
id,adjoint,14,72436.0,60180.0,55281.333333333336,49501.333333333336,49061.333333333336,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.05349711123176784
id,oracle,7,18346.666666666668,16916.0,16373.333333333334,16373.333333333334,16373.333333333334,0.0022062360824875453,0.0013493550206082102,0.0011319706014461409,0.0011319706014461409,0.0011319706014461409
id,oracle_flips,2,29594.666666666668,29594.666666666668,29594.666666666668,29594.666666666668,29594.666666666668,0.05349711123176784,0.05349711123176784,0.05349711123176784,0.0011136722145993817,0.0011136722145993817
id,learned,14,25616.0,23025.333333333332,20392.0,19465.333333333332,19465.333333333332,0.05349711123176784,0.006580131482136481,0.0018194689280691212,0.0015646680471365032,0.0015646680471365032
id,learned_seq,14,30201.333333333332,24830.666666666668,21660.0,19902.666666666668,19902.666666666668,0.05349711123176784,0.010949263732656393,0.0022517490902683314,0.0016053196916044814,0.0015695051211014222
