variable,xpp_quoted,port,abs_diff
V,-54.56137733296305,-54.56137726698023,6.598281743208645e-08
mKs,0.1095841015342257,0.10958410185759591,3.2337021949047084e-10
mKf,0.006114411948630998,0.006114412003786336,5.515533862965327e-11
hKf,0.8311167862480321,0.8311167847044556,1.5435764888493964e-09
hKf2,0.9990008289364697,0.9990008288925616,4.3908099378597854e-11
mNa,0.054660015811734484,0.05466001619387794,3.821434557682579e-10
hNa,0.9174076713178405,0.9174076704911917,8.266488604746769e-10
mNaP,0.17168333245095557,0.1716833350007641,2.5498085309827445e-09
