policy,auroc,ece,err_at_2x_medium,cost_to_tol
learned_seed1,0.99340137956931,0.006493145617891608,0.0015185008244844556,17559.0
learned_seed1_seq,,,0.0015742837505875514,17846.0
learned_seed2,0.9932586115516928,0.007996024072654317,0.0014094936170237133,17495.0
learned_seed2_seq,,,0.0015157400608622096,17910.0
