family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
sigma06,uniform_coarse,0.0,150,0.10017301165339058,0.07315071514111593,0.1312362126786736,0.03505032942687532,0.18507448359669204,1.0683169264689851,4800.0,4800.0,4800.0,0.018757598006626117,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.16666666666666666
sigma06,uniform_medium,1.0,150,0.04025421155555375,0.022385869069062043,0.06194402424098827,0.0007509492778645724,0.10552717137564645,0.8525138561874033,14400.0,14400.0,14400.0,0.057829709706663075,0.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.16666666666666666
sigma06,uniform_fine,2.0,150,0.0009734883819179245,0.000745868837091028,0.0012186506165391144,0.00034137740788195425,0.003033490017530915,0.00803246017221182,48000.0,48000.0,48000.0,0.20207300130670774,12.0,1.0,1.0,0.017777777777777778,1.0,0.03493449781659389,0.9822222222222223,0.0
sigma06,random,0.0,150,0.04025421155555375,0.022385869069062043,0.06194402424098827,0.0007509492778645724,0.10552717137564645,0.8525138561874033,14400.0,14400.0,14400.0,0.057829709706663075,0.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.16666666666666666
sigma06,random,1.0,150,0.04005413997594176,0.022175651075700662,0.06181851501182925,0.0007113828789789278,0.10553109951023183,0.8525139575208558,17200.0,17200.0,17200.0,0.21212075275995326,1.0,1.0,0.84,0.006666666666666667,0.03125,0.01098901098901099,0.9933333333333333,0.16
sigma06,random,2.0,150,0.03992477253467996,0.022016259266006404,0.061735077547792706,0.0006901330303952305,0.10554399677954567,0.8525139575208558,20000.0,20000.0,20000.0,0.21256491224664084,2.0,1.0,0.8466666666666667,0.006666666666666667,0.0625,0.012048192771084338,0.9933333333333333,0.15333333333333332
sigma06,random,3.0,150,0.033285790947280194,0.017667925687856946,0.052556673668344246,0.0006284162078125204,0.07514240852179563,0.8525139575208558,22800.0,22800.0,22800.0,0.21577797931337653,3.0,1.0,0.8533333333333334,0.013333333333333334,0.1875,0.024896265560165977,0.9866666666666667,0.13888888888888887
sigma06,random,4.0,150,0.03026600749492753,0.01476754618099803,0.04958473870262406,0.0006254673502369447,0.042534329591422726,0.8525139575208558,25600.0,25600.0,25600.0,0.21753352059335157,4.0,1.0,0.8666666666666667,0.015,0.28125,0.028481012658227847,0.985,0.12222222222222222
sigma06,random,6.0,150,0.02358420654713612,0.010463575960365866,0.03990038656070623,0.0005281946486739852,0.017386636607749237,0.8525139575208558,31200.0,31200.0,31200.0,0.2180006875867366,6.0,1.0,0.8933333333333333,0.015555555555555555,0.4375,0.030042918454935622,0.9844444444444446,0.09666666666666666
sigma06,random,8.0,150,0.00895021707791986,0.003071648218144304,0.016539556888522454,0.0004773387510754179,0.006282345279384116,0.36086702652587466,36800.0,36800.0,36800.0,0.2217382666533255,8.0,1.0,0.94,0.018333333333333333,0.6875,0.03571428571428571,0.9816666666666667,0.05222222222222222
