family,seed,group,target,closure,err_abs,err_rel_tol,cost,wall,cost_fine,wall_fine,value,gate_ens_std,gate_knn,gate_range,gate_conformal,safe_ens_std,safe_knn,safe_range,safe_conformal,gate_discrepancy,safe_discrepancy
id,120000,vclamp_Kf,charge,coarse,5.006964026679974,9.53653465972603,830.0,0.07507704100135015,81830.0,1.2468419709985028,,,,,,,,,,,
id,120000,vclamp_Kf,charge,medium,0.0013296665554811682,0.002532554882490904,3661.0,0.04772001099627232,81830.0,1.2468419709985028,10.501923866301862,,,,,,,,,,
id,120000,vclamp_Kf,charge,hybrid,42.94698007674544,81.7991425243016,3661.0,0.04853833657543873,81830.0,1.2468419709985028,-32.44638587699906,77.56903441692549,5.357913509401368,0.0,395.6992960760884,False,True,True,False,0.6645784796534354,False
id,120000,vclamp_Kf,charge,emulator,525.7194385690639,1001.313694384574,0.0,0.0008183255791664124,81830.0,1.2468419709985028,536.2200327688103,284.7430032462706,5.023310737902881,0.0,1721.4691158398919,False,True,True,False,,
id,120000,vclamp_Kf,charge,fine,7.766255656349587e-07,1.47920308291452e-06,81830.0,1.2468419709985028,81830.0,1.2468419709985028,10.50059419974638,,,,,,,,,,
id,120000,vclamp_Kf,peak_current,coarse,0.5520340907872395,17.722135476073117,830.0,0.07507704100135015,81830.0,1.2468419709985028,,,,,,,,,,,
id,120000,vclamp_Kf,peak_current,medium,0.009628381917033357,0.3091031724249122,3661.0,0.04772001099627232,81830.0,1.2468419709985028,0.30186573318695503,,,,,,,,,,
id,120000,vclamp_Kf,peak_current,hybrid,4.479246986604463,143.79876759819757,3661.0,0.04853833657543873,81830.0,1.2468419709985028,4.790741101708451,231.39965855952113,5.357913509401368,0.0,1180.0341107094844,False,True,True,False,0.6645784796534354,False
id,120000,vclamp_Kf,peak_current,emulator,36.45491036597777,1170.3242083340083,0.0,0.0008183255791664124,81830.0,1.2468419709985028,36.76640448108176,944.0990563427531,5.023310737902881,0.0,4384.012029602114,False,True,True,False,,
id,120000,vclamp_Kf,peak_current,fine,1.89024896846135e-08,6.068329630658717e-07,81830.0,1.2468419709985028,81830.0,1.2468419709985028,0.3114941151039884,,,,,,,,,,
id,120000,vclamp_Kf,time_to_peak,coarse,12.149999999999999,20.0,830.0,0.07507704100135015,81830.0,1.2468419709985028,,,,,,,,,,,
id,120000,vclamp_Kf,time_to_peak,medium,2.0500000000000043,3.374485596707826,3661.0,0.04772001099627232,81830.0,1.2468419709985028,14.200000000000003,,,,,,,,,,
id,120000,vclamp_Kf,time_to_peak,hybrid,0.44594329692363566,0.7340630402035155,3661.0,0.04853833657543873,81830.0,1.2468419709985028,12.595943296923634,1.582972027372151,5.357913509401368,0.0,4.6679025842958595,True,True,True,False,0.6645784796534354,False
id,120000,vclamp_Kf,time_to_peak,emulator,0.5129207275917569,0.8443139548835505,0.0,0.0008183255791664124,81830.0,1.2468419709985028,11.637079272408242,1.7380266604682075,5.023310737902881,0.0,5.80595997178021,True,True,True,False,,
id,120000,vclamp_Kf,time_to_peak,fine,0.0,0.0,81830.0,1.2468419709985028,81830.0,1.2468419709985028,12.149999999999999,,,,,,,,,,
id,120000,recovery_Kf,recovery_fraction,coarse,0.17860841582397324,7.3602109547001024,1914.0,0.13623902799736243,169960.0,2.5270312229986303,,,,,,,,,,,
id,120000,recovery_Kf,recovery_fraction,medium,0.09410165469504317,3.877801762848957,7245.0,0.08129101800295757,169960.0,2.5270312229986303,0.3912333905183471,,,,,,,,,,
id,120000,recovery_Kf,recovery_fraction,hybrid,0.04701092566846715,1.9372565872632403,7245.0,0.08210934358212399,169960.0,2.5270312229986303,0.5323459708818574,1.3013495297777624,5.060932519177413,0.0,4.1588312354127055,True,True,True,False,2.9905013069091937,False
id,120000,recovery_Kf,recovery_fraction,emulator,0.003446506180981912,0.14202585265469814,0.0,0.0008183255791664124,169960.0,2.5270312229986303,0.4887815513943722,0.6485752791559632,4.911342756379785,0.0,5.764270507255312,True,True,True,False,,
id,120000,recovery_Kf,recovery_fraction,fine,4.016164983910997e-08,1.6550072052370274e-06,169960.0,2.5270312229986303,169960.0,2.5270312229986303,0.48533504521339027,,,,,,,,,,
id,120000,vclamp_NaT,charge,coarse,906.8051444241319,2.4494536259386495,470.0,0.07479180799418828,59710.0,0.9627889570037951,,,,,,,,,,,
id,120000,vclamp_NaT,charge,medium,242.62514555579583,0.6553767875930471,2471.0,0.04039053699671058,59710.0,0.9627889570037951,-7161.517025755058,,,,,,,,,,
id,120000,vclamp_NaT,charge,hybrid,232.6072061790992,0.6283164228812144,2471.0,0.04120886257587699,59710.0,0.9627889570037951,-7171.534965131755,0.33745337290865524,5.26244890044436,0.0,1.7214351464109563,True,True,True,False,0.9753383798553591,False
id,120000,vclamp_NaT,charge,emulator,1262.772700767333,3.4109898798546903,0.0,0.0008183255791664124,59710.0,0.9627889570037951,-6141.369470543521,1.2104424899444997,4.922549121276755,0.0,7.317965109532808,True,True,True,False,,
id,120000,vclamp_NaT,charge,fine,5.343621796782827e-05,1.4434141520102048e-07,59710.0,0.9627889570037951,59710.0,0.9627889570037951,-7404.142171310854,,,,,,,,,,
id,120000,vclamp_NaT,peak_current,coarse,648.4308142701698,13.662241849744015,470.0,0.07479180799418828,59710.0,0.9627889570037951,,,,,,,,,,,
id,120000,vclamp_NaT,peak_current,medium,122.60728450633513,2.583298536407916,2471.0,0.04039053699671058,59710.0,0.9627889570037951,-597.2225207183329,,,,,,,,,,
id,120000,vclamp_NaT,peak_current,hybrid,8.70532404594735,0.18341855426779677,2471.0,0.04120886257587699,59710.0,0.9627889570037951,-465.90991216605045,0.17141728190085465,5.26244890044436,0.0,0.8741509865109917,True,True,True,True,0.9753383798553591,False
id,120000,vclamp_NaT,peak_current,emulator,26.49698081436975,0.5582834007995113,0.0,0.0008183255791664124,59710.0,0.9627889570037951,-448.11825539762805,0.8785656735121696,4.922549121276755,0.0,4.079701653757935,True,True,True,False,,
id,120000,vclamp_NaT,peak_current,fine,0.00019701720674447643,4.151093174271256e-06,59710.0,0.9627889570037951,59710.0,0.9627889570037951,-474.6152362119978,,,,,,,,,,
id,120000,vclamp_NaT,time_to_peak,coarse,1.8599999999999994,18.599999999999994,470.0,0.07479180799418828,59710.0,0.9627889570037951,,,,,,,,,,,
id,120000,vclamp_NaT,time_to_peak,medium,0.22000000000000064,2.2000000000000064,2471.0,0.04039053699671058,59710.0,0.9627889570037951,2.08,,,,,,,,,,
id,120000,vclamp_NaT,time_to_peak,hybrid,0.007144575558251098,0.07144575558251098,2471.0,0.04120886257587699,59710.0,0.9627889570037951,1.8671445755582505,43.37018441285023,5.26244890044436,0.0,127.8909496829263,True,True,True,False,0.9753383798553591,False
id,120000,vclamp_NaT,time_to_peak,emulator,0.525779604043646,5.257796040436459,0.0,0.0008183255791664124,59710.0,0.9627889570037951,1.3342203959563534,3.5766271441846307,4.922549121276755,0.0,11.94789154012427,True,True,True,False,,
id,120000,vclamp_NaT,time_to_peak,fine,0.0,0.0,59710.0,0.9627889570037951,59710.0,0.9627889570037951,1.8599999999999994,,,,,,,,,,
id,120000,cclamp,mean_v,coarse,1.2690925716106918,1.0372585924287943,12776.0,0.690568391000852,639310.0,10.02557320100459,,,,,,,,,,,
id,120000,cclamp,mean_v,medium,1.183262829440686,0.9671079670581048,22316.0,0.2531975390011212,639310.0,10.02557320100459,-23.28686604438327,,,,,,,,,,
id,120000,cclamp,mean_v,hybrid,0.21991429740574375,0.17974102101357478,22316.0,0.2540158645802876,639310.0,10.02557320100459,-24.6900431712297,0.12449595574776635,6.64908440216088,0.0,0.6052741267936371,True,True,True,True,3.2358476982604873,False
id,120000,cclamp,mean_v,emulator,1.6484697512188404,1.3473323003069524,0.0,0.0008183255791664124,639310.0,10.02557320100459,-26.118598625042797,0.6127724618030572,4.951076343131588,0.0,2.8475812020982447,True,True,True,False,,
id,120000,cclamp,mean_v,fine,2.047992058606951e-06,1.6738710851643426e-06,639310.0,10.02557320100459,639310.0,10.02557320100459,-24.470128873823956,,,,,,,,,,
id,120000,cclamp,min_isi,coarse,3.3999999999999986,3.3999999999999986,12776.0,0.690568391000852,639310.0,10.02557320100459,,,,,,,,,,,
id,120000,cclamp,min_isi,medium,1.3499999999999979,1.3499999999999979,22316.0,0.2531975390011212,639310.0,10.02557320100459,6.350000000000001,,,,,,,,,,
id,120000,cclamp,min_isi,hybrid,1.633237336908893,1.633237336908893,22316.0,0.2540158645802876,639310.0,10.02557320100459,9.333237336908892,23.806056049809712,6.64908440216088,0.0,58.021907694573294,True,True,True,False,3.2358476982604873,False
id,120000,cclamp,min_isi,emulator,98.37230730296362,98.37230730296362,0.0,0.0008183255791664124,639310.0,10.02557320100459,106.07230730296362,40.447117887627975,4.951076343131588,0.0,270.5765131233283,True,True,True,False,,
id,120000,cclamp,min_isi,fine,0.0,0.0,639310.0,10.02557320100459,639310.0,10.02557320100459,7.699999999999999,,,,,,,,,,
id,120000,cclamp,spike_count,coarse,60.0,19.35483870967742,12776.0,0.690568391000852,639310.0,10.02557320100459,,,,,,,,,,,
