family,policy,param,n,err_rel_tol_mean,err_lo,err_hi,success_rate,cost_frac_fine,wall_mean,false_safe_rate
id,uniform_coarse,0.0,720,25.206120844554153,22.118745381089543,28.761120272111622,0.20277777777777778,0.020976697395613777,0.5290220236584092,1.0
id,uniform_medium,1.0,720,3.0589383690987106,2.2903201704687297,4.141264717970438,0.42777777777777776,0.06138876398493412,0.2735849508319714,1.0
id,uniform_fine,2.0,720,0.0003026377182349199,0.00020091565259802843,0.0004364397307294303,1.0,1.0,5.978854948180586,0.0
id,random,0.0,720,3.0589383690987106,2.2903201704687297,4.141264717970438,0.42777777777777776,0.06138876398493412,0.2735849508319714,1.0
id,random,1.0,720,2.509390017744704,1.7221257083295045,3.592654936241865,0.5458333333333333,0.2220039167529092,1.3154760739430458,0.0
id,random,2.0,720,1.9395844251647267,1.210250034369093,3.051881581864843,0.6791666666666667,0.4101260586170511,2.395983461040239,0.0
id,random,3.0,720,0.6129855195063835,0.47119287672832366,0.7380040254591627,0.8402777777777778,0.6856668661022284,4.209359966129123,0.0
id,random,4.0,720,0.0003026377182349199,0.00020091565259802843,0.0004364397307294303,1.0,1.0,5.978854948180586,0.0
id,share,0.0,720,3.0589383690987106,2.2903201704687297,4.141264717970438,0.42777777777777776,0.06138876398493412,0.2735849508319714,1.0
id,share,1.0,720,1.35215325729963,1.16938812220014,1.564299681459825,0.6458333333333334,0.1904433504622461,1.2472338322028615,0.0
id,share,2.0,720,0.6346690054775658,0.5104179183652521,0.7507982344176086,0.8166666666666667,0.4015846588461852,1.6782890976888818,0.0
id,share,3.0,720,0.5460645717804808,0.4412895264476874,0.6600453747272524,0.8402777777777778,0.47517973929972784,1.9590183907541763,0.0
id,share,4.0,720,0.0003026377182349199,0.00020091565259802843,0.0004364397307294303,1.0,1.0613887639849342,6.252439899012557,0.0
id,discrepancy,0.02,720,0.0706772947737342,0.01574221807621118,0.15412509757267806,0.9930555555555556,1.0089925012556622,6.512419031659874,0.0
id,discrepancy,0.05,720,0.10368379327283826,0.03249848047205679,0.19374635707745622,0.9902777777777778,0.9166111118720086,6.281249620712682,0.0
id,discrepancy,0.1,720,0.18561215400154737,0.09211687218096766,0.31237516317453545,0.975,0.850128227210684,5.8848260279237214,0.012135922330097087
id,discrepancy,0.2,720,0.41520300574245206,0.30320848379386744,0.5562072379358891,0.9138888888888889,0.7872947774302677,5.718907037550151,0.01699029126213592
id,discrepancy,0.3,720,0.4448079612488645,0.3302074698539094,0.5846121143455628,0.9055555555555556,0.7683591047555778,5.654671052389009,0.01699029126213592
id,discrepancy,0.5,720,0.6131470817124456,0.47454435302025433,0.776953585737963,0.8611111111111112,0.7213840869069477,5.566387859341573,0.021844660194174758
id,discrepancy,0.7,720,0.6577288733924698,0.5162112370059908,0.8193384205367444,0.8416666666666667,0.6962930708005182,5.470407378269353,0.050970873786407765
id,discrepancy,0.9,720,0.8346572101578602,0.689587911309305,1.007597662663711,0.8013888888888889,0.6450353023572701,5.219960371802714,0.11407766990291263
id,sensitivity,0.02,720,0.705378947728612,0.563886607163989,0.8650506601659689,0.8194444444444444,0.6222672978194901,4.474226805700411,0.28640776699029125
id,sensitivity,0.05,720,0.8596937851881226,0.7208533752379142,1.0149292239486862,0.8027777777777778,0.6051306000484601,4.237013378600412,0.28640776699029125
id,sensitivity,0.1,720,0.9640427120483401,0.7998301053621644,1.14124753578406,0.7902777777777777,0.5761639512211916,3.7584530990990412,0.28640776699029125
id,sensitivity,0.2,720,1.0906493928764762,0.902883739940189,1.320783535951588,0.7805555555555556,0.5561258307817906,3.496642062164301,0.28640776699029125
id,sensitivity,0.3,720,1.1130069880704674,0.9282106699028293,1.3382489236508037,0.7763888888888889,0.5469596919577258,3.394164746240681,0.28640776699029125
id,sensitivity,0.5,720,1.15872739248837,0.9635834790080063,1.40619207307401,0.7736111111111111,0.5403964468820738,3.331042255078228,0.28640776699029125
id,sensitivity,0.7,720,1.159582630747483,0.9647669764242798,1.4071233323600976,0.7736111111111111,0.5368308571091579,3.2967417614587955,0.28640776699029125
id,sensitivity,0.9,720,1.1850455924571137,0.9867991983740835,1.4311218572852011,0.7722222222222223,0.535465512447134,3.276375253276865,0.28640776699029125
id,novelty,0.5,720,1.251328964191488,1.067963655809501,1.4332678205748914,0.6902777777777778,0.5244089643401136,3.838043267176338,0.4441747572815534
id,novelty,0.75,720,2.441309010565356,1.6810297234532747,3.554387313459358,0.5708333333333333,0.30818705019512954,2.344630768255633,0.6650485436893204
id,novelty,0.9,720,2.6833808606643292,1.89967989959647,3.8075449503850405,0.5083333333333333,0.2104058036152275,1.7600664128181052,0.8009708737864077
id,novelty,0.95,720,2.905239361245108,2.1200583079857513,3.9839675581521345,0.4666666666666667,0.1504590347707089,1.1814281257194479,0.8810679611650486
id,novelty,0.99,720,2.99232918463101,2.220812438017978,4.084762300276901,0.44583333333333336,0.09203377169335174,0.6517183368653099,0.9538834951456311
id,uncertainty,0.02,720,0.02544845263805734,0.01238232087969369,0.044917449759174034,0.9902777777777778,1.0324885440592855,6.145624067162498,0.0
id,uncertainty,0.05,720,0.04560809957907362,0.026710759211039648,0.07275150344584894,0.9833333333333333,0.9718469134005178,5.842121725106977,0.0
id,uncertainty,0.1,720,0.06149385392669661,0.04035114854513352,0.09221451374269919,0.9763888888888889,0.8761102897790835,5.217126329301451,0.0
id,uncertainty,0.2,720,0.08389972771533259,0.05937971397459382,0.1182359758663713,0.9666666666666667,0.7396910678275892,4.333769471791826,0.0
id,uncertainty,0.3,720,0.13544734007441736,0.0946894337936203,0.1919505725265739,0.9486111111111111,0.6547924408563173,3.7516722359056884,0.0
id,uncertainty,0.5,720,0.24528976040687192,0.19986462700622076,0.31632952061652975,0.9125,0.5228426063069688,2.7726456384738007,0.0
id,uncertainty,0.7,720,0.3284690146719209,0.25802287048683226,0.41332939772930105,0.8916666666666667,0.4661870366416189,2.287804750307158,0.0
id,uncertainty,0.9,720,0.4184947716641798,0.3365204540690247,0.5064275244886947,0.8638888888888889,0.4228322301962687,1.969679969402993,0.0
id,uncertainty_per_cost,0.0,720,0.0003026377182349199,0.00020091565259802843,0.0004364397307294303,1.0,1.0613887639849342,6.252439899012557,0.0
id,uncertainty_per_cost,1e-07,720,0.043661991048187666,0.025663094579362715,0.06696555440182013,0.9833333333333333,0.8665768804012356,4.479189631620885,0.0
id,uncertainty_per_cost,3e-07,720,0.4589530674491,0.3696617670906667,0.5397467803691681,0.8486111111111111,0.5364609718445993,2.863038351734713,0.014563106796116505
id,uncertainty_per_cost,1e-06,720,1.109884662325969,0.9585598624134812,1.2358759530611432,0.6777777777777778,0.29574594461103876,1.57724553945136,0.11165048543689321
id,uncertainty_per_cost,3e-06,720,1.723253393749787,1.5456991722307876,1.9143250941711667,0.5263888888888889,0.16508551886155312,0.8708331905110854,0.5412621359223301
id,uncertainty_per_cost,1e-05,720,2.355539721081412,2.1074642654589417,2.611053980316784,0.44166666666666665,0.08996139997108059,0.415663255831982,0.8810679611650486
id,uncertainty_per_cost,3e-05,720,2.468321156420978,2.1959268874230773,2.7451595524176713,0.4305555555555556,0.07305357630026016,0.32147757793892295,0.9368932038834952
id,uncertainty_per_cost,0.0001,720,3.0573411474823335,2.2892423941641193,4.141191803293107,0.42916666666666664,0.06674042481882014,0.29592714037642814,0.9466019417475728
id,uncertainty_per_cost,0.0003,720,3.0589383696171466,2.2903201733485696,4.141264723065424,0.42777777777777776,0.06413886151823696,0.2789742101625052,0.9635922330097088
id,uncertainty_per_cost,0.001,720,3.0589383720288574,2.2903201750342843,4.141264724939817,0.42777777777777776,0.06255240956696569,0.27487097066946264,0.9854368932038835
id,fullstate_voc,0.0,720,0.658977525919973,0.5029651585533816,0.8536257342327622,0.8430555555555556,0.5464330824193081,4.901908161336067,0.0
id,fullstate_voc,1e-07,720,0.6763129068806926,0.5138303819493073,0.8775227483804927,0.8361111111111111,0.5218392469088625,4.627547754248574,0.0
id,fullstate_voc,3e-07,720,0.6872180374162682,0.5277167106313846,0.8907034170193692,0.8319444444444445,0.4831031117127025,3.9915113712971864,0.0
id,fullstate_voc,1e-06,720,0.6930929674908519,0.5368206460632955,0.8956664565073025,0.8291666666666667,0.42731455384228273,3.25812889736678,0.0
id,fullstate_voc,3e-06,720,0.7473883331202775,0.5860505288807354,0.9334791356930777,0.8111111111111111,0.35254229189355984,1.9717508767362586,0.0
id,fullstate_voc,1e-05,720,0.8007264579654135,0.632131170163678,0.9932458537045054,0.8027777777777778,0.32899178019534797,1.563097483391847,0.0048543689320388345
id,fullstate_voc,3e-05,720,1.0632679003071734,0.8666037317899202,1.2779894410096677,0.7430555555555556,0.2575915284408597,1.3028976225987714,0.02669902912621359
id,fullstate_voc,0.0001,720,2.4782539755640838,1.7083450165712084,3.5621599084705715,0.6,0.15797129053828463,0.48631498624455766,0.24514563106796117
id,fullstate_voc,0.0003,720,2.7072303476448476,1.919987804819614,3.7983855862399927,0.5319444444444444,0.12246227636459292,0.3475541192486768,0.32281553398058255
id,fullstate_voc,0.001,720,3.023278804262108,2.2549746115323064,4.099435360883885,0.44027777777777777,0.08888976531911111,0.30880685848192113,0.5631067961165048
id,voc,0.0,720,0.09468457305318212,0.04816374553495444,0.17252856559819035,0.9777777777777777,0.7807056070627153,3.9284416937125672,0.012135922330097087
id,hybrid,0.0,720,0.7813211946106141,0.6539424016262594,0.9179798425639754,0.7625,0.36662740046075337,1.4913928905361495,0.038834951456310676
id,voc,1e-07,720,0.10487598865045265,0.0586281244588823,0.18155332407941271,0.9736111111111111,0.7099440415370455,3.021202534665382,0.019417475728155338
id,hybrid,1e-07,720,0.7873836440538926,0.6618576189435761,0.9223791115064204,0.7597222222222222,0.3576861024213956,1.4410399265639322,0.07281553398058252
id,voc,3e-07,720,0.1158233104919019,0.0682104706188521,0.1933645816678426,0.9708333333333333,0.5922967835387648,2.5312400018403927,0.02669902912621359
id,hybrid,3e-07,720,0.797088320252051,0.6715186429192826,0.9341989383148713,0.7569444444444444,0.34113854957239476,1.3559697997681623,0.13349514563106796
id,voc,1e-06,720,0.25953203449046064,0.19915113988708458,0.3416577572642348,0.9041666666666667,0.4493405391839783,1.6399027423181602,0.10194174757281553
id,hybrid,1e-06,720,0.8810671628157865,0.7556639098147657,1.0263285948056005,0.7194444444444444,0.29360170778151,1.0707767071654113,0.23058252427184467
id,voc,3e-06,720,0.9717124874087426,0.827648101680319,1.125075331601643,0.7041666666666667,0.1996809060309534,0.8177721834014392,0.3446601941747573
id,hybrid,3e-06,720,1.2274226626151419,1.0598665163443373,1.3907118241869563,0.625,0.16279218641571477,0.7122928200722577,0.4563106796116505
id,voc,1e-05,720,1.4227742591493795,1.205338262442997,1.6080245739984034,0.6305555555555555,0.13697967940915964,0.5769951864056111,0.5412621359223301
id,hybrid,1e-05,720,1.5701432593387084,1.3621031952532259,1.7689897782595023,0.575,0.12109492714046549,0.557237469505632,0.633495145631068
id,voc,3e-05,720,2.048116770549544,1.8009798308281695,2.270003966952155,0.45555555555555555,0.08109350542457078,0.4661070854806187,0.8567961165048543
id,hybrid,3e-05,720,2.048116770549544,1.8009798308281695,2.270003966952155,0.45555555555555555,0.08015564143769768,0.46397400539450345,0.8567961165048543
id,voc,0.0001,720,2.3999792210618005,2.1402940951845157,2.653877507463266,0.4305555555555556,0.06668254818716941,0.3137183462042079,0.9514563106796117
id,hybrid,0.0001,720,2.3999792210618005,2.1402940951845157,2.653877507463266,0.4305555555555556,0.06657669974173874,0.31354396826531633,0.9514563106796117
id,voc,0.0003,720,3.0573411498097207,2.2892423942754516,4.141191808275202,0.42916666666666664,0.06425660112580983,0.2856812973347486,0.9757281553398058
id,hybrid,0.0003,720,3.0573411498097207,2.2892423942754516,4.141191808275202,0.42916666666666664,0.06415075268037916,0.28550691939585704,0.9757281553398058
id,voc,0.001,720,3.0589383720288574,2.2903201750342843,4.141264724939817,0.42777777777777776,0.06319184628068411,0.27773091663891336,0.9854368932038835
id,hybrid,0.001,720,3.0589383720288574,2.2903201750342843,4.141264724939817,0.42777777777777776,0.06319184628068411,0.27773091663891336,0.9854368932038835
id,hardlabel,0.02,720,0.013014379097770087,0.008170753171399339,0.019547319229030708,0.9986111111111111,0.45813398672339667,2.2999151132876046,0.0024271844660194173
id,hardlabel,0.05,720,0.026824822772800832,0.018105569464857238,0.03549204629292482,0.9986111111111111,0.3946405962134254,2.059706024658433,0.0024271844660194173
id,hardlabel,0.1,720,0.05703903327359851,0.043022448688103454,0.07284923799674133,0.9916666666666667,0.3668525005050703,1.92567626017097,0.014563106796116505
id,hardlabel,0.2,720,0.0972395147780186,0.07714193090693798,0.12136669977917913,0.9847222222222223,0.35318531967897554,1.8332516915515347,0.02669902912621359
id,hardlabel,0.3,720,0.13236691408138185,0.11075160115418137,0.16351892136007815,0.9791666666666666,0.33841799215978446,1.712724263295978,0.03398058252427184
