family,target,policy,param,n,err_rel_tol_mean,err_lo,err_hi,err_median,success_rate,cost_mean,cost_frac_fine,wall_mean,n_refined_mean,precision,recall,false_safe_rate,n_necessary
id,peak_current,uniform_coarse,0.0,120,104.67067715478673,91.65787802042294,119.37592005785231,78.53000086304792,0.0,821.45,0.011191465813077905,0.0895063808501618,0.0,1.0,0.0,1.0,113
id,peak_current,uniform_medium,1.0,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,113
id,peak_current,uniform_fine,2.0,120,5.208814170213903e-06,4.374282636107186e-06,6.215985495063179e-06,3.363398988579744e-06,1.0,72746.33333333333,1.0,1.1751995523250722,4.0,0.2375,1.0,0.0,113
id,peak_current,random,0.0,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,113
id,peak_current,random,1.0,120,2.9380041339420933,2.5121293738988957,3.5267110271224724,2.3881068927453084,0.2916666666666667,14561.583333333334,0.2038480901882796,0.2335092778164532,1.0,0.23333333333333334,0.24561403508771928,0.0,113
id,peak_current,random,2.0,120,2.1064760208568134,1.6711341151415338,2.7446804299756535,1.2336516569967269,0.5,27785.358333333334,0.3866041350571121,0.4536083464915767,2.0,0.22083333333333333,0.4649122807017544,0.0,113
id,peak_current,random,3.0,120,0.8196586202624545,0.535915420056112,1.2115828002950473,4.591647994236716e-06,0.8,49642.6,0.6859579001790934,0.8117156449249705,3.0,0.24722222222222223,0.7807017543859649,0.0,113
id,peak_current,random,4.0,120,5.208814170213903e-06,4.374282636107186e-06,6.215985495063179e-06,3.363398988579744e-06,1.0,72746.33333333333,1.0,1.1751995523250722,4.0,0.2375,1.0,0.0,113
id,peak_current,share,0.0,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,113
id,peak_current,share,1.0,120,2.622619374563341,2.1013344467613795,3.1380814543829083,2.3544998989858343,0.36666666666666664,11284.441666666668,0.1596212320648251,0.17017710428359958,1.0,0.30833333333333335,0.32456140350877194,0.0,113
id,peak_current,share,2.0,120,1.417684108841711,0.9774382937117323,1.8003487399607647,4.774303962912381e-06,0.6083333333333333,33169.566666666666,0.4334283112930018,0.5118771741917347,2.0,0.2791666666666667,0.5877192982456141,0.0,113
id,peak_current,share,3.0,120,1.1757366547110317,0.8064851517838124,1.545663731778245,4.24951333458566e-06,0.6583333333333333,38706.166666666664,0.510579638273797,0.5940904671002802,3.0,0.20277777777777778,0.6403508771929824,0.0,113
id,peak_current,share,4.0,120,5.208814170213903e-06,4.374282636107186e-06,6.215985495063179e-06,3.363398988579744e-06,1.0,76352.55833333333,1.0497664234820203,1.2262186778752948,4.0,0.2375,1.0,0.0,113
id,peak_current,discrepancy,0.02,120,5.932930661902206e-06,4.971451220621891e-06,7.066023014129094e-06,3.816715805322423e-06,1.0,75757.925,1.0439428455370425,1.2977923204671848,3.7666666666666666,0.252212389380531,1.0,0.0,113
id,peak_current,discrepancy,0.05,120,6.708939869276716e-06,5.5082140170637676e-06,7.940672298843261e-06,4.352787813192667e-06,1.0,72025.4,0.9907678651286773,1.2524395574504827,3.0416666666666665,0.3095890410958904,0.9912280701754386,0.0,113
id,peak_current,discrepancy,0.1,120,0.052595331280837675,5.745609707864745e-06,0.15777337420570878,4.171488091360414e-06,0.9916666666666667,69113.575,0.9518855427404004,1.2055984613672082,2.841666666666667,0.3284457478005865,0.9824561403508771,0.0,113
id,peak_current,discrepancy,0.2,120,1.0319298998146178,0.7151509321103741,1.4370007026452039,4.59164801423756e-06,0.8083333333333333,61625.225,0.847318990743694,1.0984304222340142,2.2,0.3409090909090909,0.7894736842105263,0.0,113
id,peak_current,discrepancy,0.3,120,1.089306873457591,0.8000959820816199,1.5183911571143835,4.7818752224459925e-06,0.7916666666666666,60827.10833333333,0.8346144060320673,1.0873128895339808,2.125,0.34509803921568627,0.7719298245614035,0.0,113
id,peak_current,discrepancy,0.5,120,1.4679445547196428,1.031489194715668,2.0597879581473446,8.478862868022361e-06,0.6833333333333333,55470.65,0.7525725649903829,1.0079332364085833,1.5916666666666666,0.39267015706806285,0.6578947368421053,0.0,113
id,peak_current,discrepancy,0.7,120,1.5377363692258528,1.1007175670158256,2.1461259335339844,7.552771863061864e-06,0.65,52195.825,0.7111842965983011,0.9511944436669182,1.475,0.4011299435028249,0.6228070175438597,0.035398230088495575,113
id,peak_current,discrepancy,0.9,120,1.682648806037499,1.2240654520366434,2.259014505436264,1.0656644869628943e-05,0.6,46459.40833333333,0.6303990190317089,0.8525874398335873,1.2666666666666666,0.4276315789473684,0.5701754385964912,0.1415929203539823,113
id,peak_current,sensitivity,0.02,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.05,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.1,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.2,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.3,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.5,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.7,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,sensitivity,0.9,120,5.0810632682777e-06,4.121956340999222e-06,5.813333666449725e-06,3.0998549700199795e-06,1.0,47173.5,0.6238636143736954,0.8110882416754672,1.0,0.9416666666666667,0.9912280701754386,0.0,113
id,peak_current,novelty,0.5,120,2.3280792490003024,1.8925109089732124,2.836367364138365,2.006267704552533,0.44166666666666665,33366.98333333333,0.4541868936506553,0.5314435821752037,1.5333333333333334,0.25,0.40350877192982454,0.504424778761062,113
id,peak_current,novelty,0.75,120,3.127142250027007,2.6636805575160003,3.6780396911934545,2.4818466185154855,0.275,19879.375,0.26073877726598077,0.31180679345849666,0.7666666666666667,0.2826086956521739,0.22807017543859648,0.7079646017699115,113
id,peak_current,novelty,0.9,120,3.5069760038445823,3.0475265229702133,4.01601197585575,2.5073970365712563,0.16666666666666666,11046.916666666666,0.14683110776698374,0.1699251264835463,0.39166666666666666,0.2765957446808511,0.11403508771929824,0.8672566371681416,113
id,peak_current,novelty,0.95,120,3.7329147877990794,3.2833985171707973,4.249042410558226,2.5431412739364436,0.10833333333333334,7073.583333333333,0.09745229377797689,0.10722381233354099,0.19166666666666668,0.2608695652173913,0.05263157894736842,0.9380530973451328,113
id,peak_current,novelty,0.99,120,3.874985455783201,3.449566104655912,4.393240985940224,2.6540174744928295,0.075,4038.725,0.05616692157746856,0.057588182200227794,0.058333333333333334,0.2857142857142857,0.017543859649122806,0.9646017699115044,113
id,peak_current,uncertainty,0.02,120,0.058773887445328646,5.503816277459022e-06,0.13663494692303604,3.5648243929427702e-06,0.975,74335.71666666666,1.021371765390078,1.1957956099002027,3.816666666666667,0.2423580786026201,0.9736842105263158,0.0,113
id,peak_current,uncertainty,0.05,120,0.10454895355109303,0.01978887693907387,0.21944749073352793,3.5648243929427702e-06,0.9666666666666667,70560.275,0.9668188598913438,1.136650745741948,3.5083333333333333,0.26128266033254155,0.9649122807017544,0.0,113
id,peak_current,uncertainty,0.1,120,0.15777850319657005,0.055891948249302326,0.2803912480471039,3.223406918635337e-06,0.9416666666666667,61995.85833333333,0.8380577940630367,1.0129147536835565,2.716666666666667,0.3282208588957055,0.9385964912280702,0.0,113
id,peak_current,uncertainty,0.2,120,0.17785148177553503,0.0591632008745254,0.3205601402013473,2.8378733756176717e-06,0.9333333333333333,51471.833333333336,0.6867276897910889,0.8537098577087818,1.9,0.4605263157894737,0.9210526315789473,0.0,113
id,peak_current,uncertainty,0.3,120,0.23304978799366244,0.11764766742170975,0.3710334408610581,3.1558575495683873e-06,0.9083333333333333,46820.74166666667,0.619327664355446,0.7764646209419577,1.5833333333333333,0.5368421052631579,0.8947368421052632,0.0,113
id,peak_current,uncertainty,0.5,120,0.3051482103192882,0.17914663215507226,0.44739955694368666,3.223406911222757e-06,0.8833333333333333,41850.191666666666,0.553845620465776,0.6914801993668941,1.3333333333333333,0.61875,0.868421052631579,0.0,113
id,peak_current,uncertainty,0.7,120,0.3806427562583156,0.23855991992547912,0.5545555586803038,3.540026218815912e-06,0.8583333333333333,37887.6,0.49965993640565504,0.6183533530503761,1.1416666666666666,0.7007299270072993,0.8421052631578947,0.0,113
id,peak_current,uncertainty,0.9,120,0.5231342964939956,0.34185779080097933,0.7152640684048968,3.759176985185503e-06,0.8,35765.075,0.4716903353539669,0.5806708788669918,1.0333333333333334,0.717741935483871,0.7807017543859649,0.0,113
id,peak_current,uncertainty_per_cost,0.0,120,5.208814170213903e-06,4.374282636107186e-06,6.215985495063179e-06,3.363398988579744e-06,1.0,76352.55833333333,1.0497664234820203,1.2262186778752948,4.0,0.2375,1.0,0.0,113
id,peak_current,uncertainty_per_cost,1e-07,120,0.019266683432451286,3.7166157046691903e-06,0.057792122285044545,2.961233961722649e-06,0.9916666666666667,66760.04166666667,0.8970643308366674,1.0665958697585969,3.808333333333333,0.24726477024070023,0.9912280701754386,0.0,113
id,peak_current,uncertainty_per_cost,3e-07,120,0.611649293669263,0.37730364472466643,0.8566234976188487,4.128358421092959e-06,0.8333333333333334,45943.86666666667,0.6166727233809844,0.7258689418752208,3.4583333333333335,0.22650602409638554,0.8245614035087719,0.0,113
id,peak_current,uncertainty_per_cost,1e-06,120,1.8324952635243257,1.3261910014525555,2.2531970229449265,9.03231559878122e-06,0.5833333333333334,20316.591666666667,0.2905034607197616,0.31578455533356947,2.125,0.25098039215686274,0.5614035087719298,0.008849557522123894,113
id,peak_current,uncertainty_per_cost,3e-06,120,3.0772139473606406,2.5383689291713356,3.6369346353739234,2.4160818925674556,0.25,9275.333333333334,0.13480623989926477,0.1410715170751852,0.8,0.23958333333333334,0.20175438596491227,0.4778761061946903,113
id,peak_current,uncertainty_per_cost,1e-05,120,3.8683120930875154,3.4540519279850606,4.387290221260759,2.5715872650153564,0.06666666666666667,4115.216666666666,0.05688751131044913,0.05811644059188741,0.13333333333333333,0.0625,0.008771929824561403,0.9026548672566371,113
id,peak_current,uncertainty_per_cost,3e-05,120,3.9147800941183326,3.505547520507517,4.439588830477756,2.6540174744928295,0.058333333333333334,3972.6833333333334,0.05501924486507677,0.055910136116866245,0.1,0.0,0.0,0.9292035398230089,113
id,peak_current,uncertainty_per_cost,0.0001,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3857.95,0.05350952235815643,0.05448025079188786,0.05,0.0,0.0,0.9469026548672567,113
id,peak_current,uncertainty_per_cost,0.0003,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3802.491666666667,0.05267643938784949,0.05375943667519702,0.041666666666666664,0.0,0.0,0.9557522123893806,113
id,peak_current,uncertainty_per_cost,0.001,120,3.914779997872533,3.5055474699762215,4.4395888412662545,2.6540174744928295,0.058333333333333334,3743.358333333333,0.051788667078047114,0.05286870736687585,0.025,0.0,0.0,0.9734513274336283,113
id,peak_current,fullstate_voc,0.0,120,1.4266086551483133,0.9461262622158603,1.914514767440622,6.146990474605428e-06,0.6833333333333333,26497.458333333332,0.34234351151649584,0.42602724201688036,1.6416666666666666,0.38071065989847713,0.6578947368421053,0.0,113
id,peak_current,fullstate_voc,1e-07,120,1.4616662736908452,0.9755634180762405,1.9322112943004357,6.146990474605428e-06,0.6666666666666666,25770.291666666668,0.33211798287806327,0.4135219249668808,1.625,0.37435897435897436,0.6403508771929824,0.0,113
id,peak_current,fullstate_voc,3e-07,120,1.4616662736908452,0.9755634180762405,1.9322112943004357,6.146990474605428e-06,0.6666666666666666,25770.291666666668,0.33211798287806327,0.4135219249668808,1.625,0.37435897435897436,0.6403508771929824,0.0,113
id,peak_current,fullstate_voc,1e-06,120,1.4616662736908452,0.9755634180762405,1.9322112943004357,6.146990474605428e-06,0.6666666666666666,25770.291666666668,0.33211798287806327,0.4135219249668808,1.625,0.37435897435897436,0.6403508771929824,0.0,113
id,peak_current,fullstate_voc,3e-06,120,1.4616662629719808,0.9755634074380897,1.932211282151233,6.146990474605428e-06,0.6666666666666666,24926.175,0.32295257000118305,0.39917595131685935,1.5833333333333333,0.38421052631578945,0.6403508771929824,0.0,113
id,peak_current,fullstate_voc,1e-05,120,1.4616660793740666,0.9755633202290804,1.932211185762328,6.146990474605428e-06,0.6666666666666666,24898.308333333334,0.3226326863225208,0.3988304644335585,1.575,0.3862433862433862,0.6403508771929824,0.0,113
id,peak_current,fullstate_voc,3e-05,120,1.7772506546687958,1.2778904502118171,2.2637035646873596,8.683655937829405e-06,0.6083333333333333,20576.6,0.2728166257020408,0.3248382698502913,1.475,0.3728813559322034,0.5789473684210527,0.0,113
id,peak_current,fullstate_voc,0.0001,120,2.212746145772568,1.6433868416380568,2.7444804273920944,0.4929052684301819,0.525,14993.441666666668,0.20823261961611583,0.2339415842420446,1.3416666666666666,0.34782608695652173,0.49122807017543857,0.017699115044247787,113
id,peak_current,fullstate_voc,0.0003,120,2.6151156576503514,2.0946991071277523,3.145811182696988,2.325525541599085,0.35833333333333334,11094.866666666667,0.15709420134588667,0.1678019260003263,0.9583333333333334,0.3130434782608696,0.3157894736842105,0.09734513274336283,113
id,peak_current,fullstate_voc,0.001,120,3.793263188071262,3.378379501112352,4.338077937723177,2.5431412694386166,0.09166666666666666,6781.2,0.09122906588321923,0.09358215959182417,0.5083333333333333,0.06557377049180328,0.03508771929824561,0.49557522123893805,113
id,peak_current,voc,0.0,120,5.199644685228601e-06,4.35005454391365e-06,6.128233830707233e-06,3.3996106486124227e-06,1.0,71403.14166666666,0.970961347910216,1.1568233929919491,3.658333333333333,0.25968109339407747,1.0,0.0,113
id,peak_current,hybrid,0.0,120,1.2713723593257489,0.9713938921428019,1.5848261852588466,5.118615768764871e-06,0.6,34677.791666666664,0.4632585680318385,0.541905025616749,2.375,0.23157894736842105,0.5789473684210527,0.0,113
id,peak_current,voc,1e-07,120,5.206772027947642e-06,4.354728725953105e-06,6.134744926643333e-06,3.3996106486124227e-06,1.0,70061.20833333333,0.9455630367063388,1.1358573755086279,3.5833333333333335,0.2651162790697674,1.0,0.0,113
id,peak_current,hybrid,1e-07,120,1.2713723620387836,0.9713938935671345,1.5848261866831899,5.118615768764871e-06,0.6,34376.3,0.4590420649432348,0.5381989402917801,2.325,0.23655913978494625,0.5789473684210527,0.0,113
id,peak_current,voc,3e-07,120,4.2502637886254035e-06,3.445945910980399e-06,5.322583416395413e-06,2.6339406681841755e-06,1.0,58907.625,0.7715865712192006,0.9613146034669019,3.1,0.3064516129032258,1.0,0.0,113
id,peak_current,hybrid,3e-07,120,1.271372690473415,0.9713942192147234,1.5848266822846673,5.118615768764871e-06,0.6,32983.8,0.4402797706631405,0.520939864125133,2.05,0.2682926829268293,0.5789473684210527,0.035398230088495575,113
id,peak_current,voc,1e-06,120,0.013308325975267637,3.4829197217542553e-06,0.039917172629536736,2.5185954027896693e-06,0.9916666666666667,48690.65,0.633755655190933,0.8059630839251744,2.6083333333333334,0.3610223642172524,0.9912280701754386,0.0,113
id,peak_current,hybrid,1e-06,120,1.271373008566428,0.9713945759310922,1.5848268291834209,5.22457128476844e-06,0.6,28029.566666666666,0.3736274937292175,0.44918684230024153,1.7166666666666666,0.32038834951456313,0.5789473684210527,0.12389380530973451,113
id,peak_current,voc,3e-06,120,0.6346679476778346,0.3658865148374994,0.9180222140152918,4.15083652890848e-06,0.8166666666666667,24392.783333333333,0.3221047352021948,0.39316522163359574,1.55,0.4946236559139785,0.8070175438596491,0.061946902654867256,113
id,peak_current,hybrid,3e-06,120,1.4229669754052083,1.0885323066081916,1.74712360716725,6.6976628752732625e-06,0.5583333333333333,18214.866666666665,0.24279062244005106,0.2913505489334966,1.2333333333333334,0.41216216216216217,0.5350877192982456,0.2743362831858407,113
