family,seed,group,target,closure,err_abs,err_rel_tol,cost,wall,cost_fine,wall_fine,value,gate_ens_std,gate_knn,gate_range,gate_conformal,safe_ens_std,safe_knn,safe_range,safe_conformal,gate_discrepancy,safe_discrepancy
id,20000,vclamp_Kf,charge,coarse,2196.5758207689305,4.778528900521612,1216.0,0.09112516100140056,88760.0,1.4033068149983592,,,,,,,,,,,
id,20000,vclamp_Kf,charge,medium,1358.9628309934842,2.9563482859261394,4788.0,0.0581530820018088,88760.0,1.4033068149983592,7834.560391306827,,,,,,,,,,
id,20000,vclamp_Kf,charge,hybrid,1003.7156646965423,2.183527773687186,4788.0,0.05888990766664695,88760.0,1.4033068149983592,8189.807557603769,0.810190187857571,5.820345417648111,0.0,2.5144553609827685,True,True,True,False,2.7987684573435936,False
id,20000,vclamp_Kf,charge,emulator,1670.3975797928842,3.6338573132465184,0.0,0.0007368256648381551,88760.0,1.4033068149983592,7523.125642507427,1.6305360051415396,4.727147762341249,0.0,10.748577670318797,True,True,True,False,,
id,20000,vclamp_Kf,charge,fine,7.502781772927847e-05,1.6321885726526887e-07,88760.0,1.4033068149983592,88760.0,1.4033068149983592,9193.523222300311,,,,,,,,,,
id,20000,vclamp_Kf,peak_current,coarse,2325.954050401783,42.78966475913472,1216.0,0.09112516100140056,88760.0,1.4033068149983592,,,,,,,,,,,
id,20000,vclamp_Kf,peak_current,medium,73.95335920331456,1.3604909553458626,4788.0,0.0581530820018088,88760.0,1.4033068149983592,469.62511085357903,,,,,,,,,,
id,20000,vclamp_Kf,peak_current,hybrid,80.81283866473285,1.486682109691993,4788.0,0.05888990766664695,88760.0,1.4033068149983592,462.76563139216074,0.7075899802413662,5.820345417648111,0.0,4.123428212520246,True,True,True,False,2.7987684573435936,False
id,20000,vclamp_Kf,peak_current,emulator,236.16862615626485,4.344701623880472,0.0,0.0007368256648381551,88760.0,1.4033068149983592,307.40984390062874,0.5571516101111736,4.727147762341249,0.0,4.94482474828041,True,True,True,False,,
id,20000,vclamp_Kf,peak_current,fine,1.4351953609548218e-05,2.6402726377382224e-07,88760.0,1.4033068149983592,88760.0,1.4033068149983592,543.5784700568936,,,,,,,,,,
id,20000,vclamp_Kf,time_to_peak,coarse,3.450000000000003,20.0,1216.0,0.09112516100140056,88760.0,1.4033068149983592,,,,,,,,,,,
id,20000,vclamp_Kf,time_to_peak,medium,0.0,0.0,4788.0,0.0581530820018088,88760.0,1.4033068149983592,3.450000000000003,,,,,,,,,,
id,20000,vclamp_Kf,time_to_peak,hybrid,0.15501756538231826,0.8986525529409746,4788.0,0.05888990766664695,88760.0,1.4033068149983592,3.2949824346176846,2.4091402599656053,5.820345417648111,0.0,6.7268074521725145,True,True,True,False,2.7987684573435936,False
id,20000,vclamp_Kf,time_to_peak,emulator,2.03433479259116,11.793245174441498,0.0,0.0007368256648381551,88760.0,1.4033068149983592,5.484334792591163,1.8145024109858114,4.727147762341249,0.0,11.097513669008858,True,True,True,False,,
id,20000,vclamp_Kf,time_to_peak,fine,0.0,0.0,88760.0,1.4033068149983592,88760.0,1.4033068149983592,3.450000000000003,,,,,,,,,,
id,20000,recovery_Kf,recovery_fraction,coarse,0.2270196735163227,11.350983675816135,1892.0,0.12756005799747072,174230.0,2.842400749999797,,,,,,,,,,,
id,20000,recovery_Kf,recovery_fraction,medium,0.12333376429361476,6.166688214680738,7546.0,0.08717699699991499,174230.0,2.842400749999797,0.27022645415122243,,,,,,,,,,
id,20000,recovery_Kf,recovery_fraction,hybrid,0.011074617415965715,0.5537308707982858,7546.0,0.08791382266475314,174230.0,2.842400749999797,0.4046348358608029,0.5440130412515791,5.146222592921293,0.0,3.116909705200781,True,True,True,False,2.7628862555672624,False
id,20000,recovery_Kf,recovery_fraction,emulator,0.10753381976004667,5.376690988002333,0.0,0.0007368256648381551,174230.0,2.842400749999797,0.5010940382048839,1.0828977038121308,4.619592810196778,0.0,5.42867803426241,True,True,True,False,,
id,20000,recovery_Kf,recovery_fraction,fine,6.932703300321919e-09,3.46635165016096e-07,174230.0,2.842400749999797,174230.0,2.842400749999797,0.3935602184448372,,,,,,,,,,
id,20000,vclamp_NaT,charge,coarse,582.3815360316248,1.7886632050327973,518.0,0.08567423299973598,68880.0,1.1577677799978119,,,,,,,,,,,
id,20000,vclamp_NaT,charge,medium,78.72767930929786,0.24179561762500004,3017.0,0.04385884299699683,68880.0,1.1577677799978119,-6433.191774201752,,,,,,,,,,
